"Year","Cereal","Meat","Recreation","Timber"
2010,950,550,110,9400
2011,951.666666666667,541.666666666667,110,9403.33333333333
2012,953.333333333333,533.333333333333,110,9406.66666666667
2013,955,525,110,9410
2014,956.666666666667,516.666666666667,110,9413.33333333333
2015,958.333333333333,508.333333333333,110,9416.66666666667
2016,960,500,110,9420
2017,961.666666666667,491.666666666667,110,9423.33333333333
2018,963.333333333333,483.333333333333,110,9426.66666666667
2019,965,475,110,9430
2020,966.666666666667,466.666666666667,110,9433.33333333333
2021,968.333333333333,458.333333333333,110,9436.66666666667
2022,970,450,110,9440
2023,971.666666666667,441.666666666667,110,9443.33333333333
2024,973.333333333333,433.333333333333,110,9446.66666666667
2025,975,425,110,9450
2026,976.666666666667,416.666666666667,110,9453.33333333333
2027,978.333333333333,408.333333333333,110,9456.66666666667
2028,980,400,110,9460
2029,981.666666666667,391.666666666667,110,9463.33333333333
2030,983.333333333333,383.333333333333,110,9466.66666666667
2031,985,375,110,9470
2032,986.666666666667,366.666666666667,110,9473.33333333333
2033,988.333333333333,358.333333333333,110,9476.66666666667
2034,990,350,110,9480
2035,991.666666666667,341.666666666667,110,9483.33333333333
2036,993.333333333333,333.333333333333,110,9486.66666666667
2037,995,325,110,9490
2038,996.666666666667,316.666666666667,110,9493.33333333333
2039,998.333333333333,308.333333333333,110,9496.66666666667
2040,1000,300,110,9500
