Scenario,AftScenario,AFT,givingIn,givingInDistributionMean,givingInDistributionSD,givingUp,givingUpDistributionMean,givingUpDistributionSD,serviceLevelNoiseMin,serviceLevelNoiseMax
A1,A,C_Cereal,0.1,0.1,0.03,0,0,0.03,0,0.1
A1,A,NC_Cereal,1,1,0.03,0,0,0.03,0,0.1
A1,A,C_Livestock,0.1,0.1,0.03,0,0,0.03,0,0.1
A1,A,NC_Livestock,1,1,0.03,0,0,0.03,0,0.1
A1,A,Forester,1,1,0.03,0,0,0.03,0,0.1
A1,A,VLI_Livestock,10,10,0.03,0,0,0.03,0,0.1
A2,A,C_Cereal,0.1,0.1,0.03,0,0,0.03,0,0.1
A2,A,NC_Cereal,1,1,0.03,0,0,0.03,0,0.1
A2,A,C_Livestock,0.1,0.1,0.03,0,0,0.03,0,0.1
A2,A,NC_Livestock,1,1,0.03,0,0,0.03,0,0.1
A2,A,Forester,1,1,0.03,0,0,0.03,0,0.1
A2,A,VLI_Livestock,10,10,0.03,0,0,0.03,0,0.1
B1,A,C_Cereal,0.1,0.1,0.03,0,0,0.03,0,0.1
B1,A,NC_Cereal,1,1,0.03,0,0,0.03,0,0.1
B1,A,C_Livestock,0.1,0.1,0.03,0,0,0.03,0,0.1
B1,A,NC_Livestock,1,1,0.03,0,0,0.03,0,0.1
B1,A,Forester,1,1,0.03,0,0,0.03,0,0.1
B1,A,VLI_Livestock,10,10,0.03,0,0,0.03,0,0.1
B2,A,C_Cereal,0.1,0.1,0.03,0,0,0.03,0,0.1
B2,A,NC_Cereal,1,1,0.03,0,0,0.03,0,0.1
B2,A,C_Livestock,0.1,0.1,0.03,0,0,0.03,0,0.1
B2,A,NC_Livestock,1,1,0.03,0,0,0.03,0,0.1
B2,A,Forester,1,1,0.03,0,0,0.03,0,0.1
B2,A,VLI_Livestock,10,10,0.03,0,0,0.03,0,0.1
A1,B,C_Cereal,0.1,0.1,0.3,0.1,0,0.3,0,0.1
A1,B,NC_Cereal,1,1,0.3,-0.2,0,0.3,0,0.1
A1,B,C_Livestock,0.1,0.1,0.3,0.1,0,0.3,0,0.1
A1,B,NC_Livestock,1,1,0.3,-0.2,0,0.3,0,0.1
A1,B,Forester,1,1,0.3,0,0,0.3,0,0.1
A1,B,VLI_Livestock,10,10,0.3,0,0,0.3,0,0.1
A1,C,C_Cereal,0.1,0.1,0.3,0.1,0.1,0.3,0,0.1
A1,C,NC_Cereal,1,1,0.3,-0.5,-0.5,0.3,0,0.1
A1,C,C_Livestock,0.1,0.1,0.3,0.1,0.1,0.3,0,0.1
A1,C,NC_Livestock,1,1,0.3,-0.5,-0.5,0.3,0,0.1
A1,C,Forester,1,1,0.3,0,0,0.3,0,0.1
A1,C,VLI_Livestock,10,10,0.3,0,0,0.3,0,0.1
A1,D,C_Cereal,0.1,0.1,0.3,-0.2,-0.2,0.3,0,0.1
A1,D,NC_Cereal,1,1,0.3,-0.5,-0.5,0.3,0,0.1
A1,D,C_Livestock,0.1,0.1,0.3,-0.2,-0.2,0.3,0,0.1
A1,D,NC_Livestock,1,1,0.3,-0.5,-0.5,0.3,0,0.1
A1,D,Forester,1,1,0.3,0,0,0.3,0,0.1
A1,D,VLI_Livestock,10,10,0.3,0,0,0.3,0,0.1
