Scenario,AFT,givingIn,givingInDistributionMean,givingInDistributionSD,givingUp,givingUpDistributionMean,givingUpDistributionSD,serviceLevelNoiseMin,serviceLevelNoiseMax
A1,C_Cereal,0.1,0.1,0.03,1,1,0.03,0,0.1
A1,NC_Cereal,1,1,0.03,0.5,0.5,0.03,0,0.1
A1,C_Livestock,0.1,0.1,0.03,1,1,0.03,0,0.1
A1,NC_Livestock,1,1,0.03,0.5,0.5,0.03,0,0.1
A1,Forester,1,1,0.03,1,1,0.03,0,0.1
A1,VLI_Livestock,10,10,0.03,0.01,0.01,0.03,0,0.1
A2,C_Cereal,0.1,0.1,0.03,1,1,0.03,0,0.1
A2,NC_Cereal,1,1,0.03,0.5,0.5,0.03,0,0.1
A2,C_Livestock,0.1,0.1,0.03,1,1,0.03,0,0.1
A2,NC_Livestock,1,1,0.03,0.5,0.5,0.03,0,0.1
A2,Forester,1,1,0.03,1,1,0.03,0,0.1
A2,VLI_Livestock,10,10,0.03,0.01,0.01,0.03,0,0.1
B1,C_Cereal,0.1,0.1,0.03,1,1,0.03,0,0.1
B1,NC_Cereal,1,1,0.03,0.5,0.5,0.03,0,0.1
B1,C_Livestock,0.1,0.1,0.03,1,1,0.03,0,0.1
B1,NC_Livestock,1,1,0.03,0.5,0.5,0.03,0,0.1
B1,Forester,1,1,0.03,1,1,0.03,0,0.1
B1,VLI_Livestock,10,10,0.03,0.01,0.01,0.03,0,0.1
B2,C_Cereal,0.1,0.1,0.03,1,1,0.03,0,0.1
B2,NC_Cereal,1,1,0.03,0.5,0.5,0.03,0,0.1
B2,C_Livestock,0.1,0.1,0.03,1,1,0.03,0,0.1
B2,NC_Livestock,1,1,0.03,0.5,0.5,0.03,0,0.1
B2,Forester,1,1,0.03,1,1,0.03,0,0.1
B2,VLI_Livestock,10,10,0.03,0.01,0.01,0.03,0,0.1
